Time,Open,High,Low,Close,Volume
2019-12-22 23:59:59.999,0.19134000,0.19665000,0.19045000,0.19649000,53300985.10000000
2019-12-23 23:59:59.999,0.19650000,0.19974000,0.18809000,0.18953000,94859486.60000000
2019-12-24 23:59:59.999,0.18958000,0.19413000,0.18745000,0.19077000,66325389.40000000
2019-12-25 23:59:59.999,0.19069000,0.19137000,0.18633000,0.18852000,39672557.20000000
2019-12-26 23:59:59.999,0.18864000,0.19410000,0.18722000,0.18923000,46612594.50000000
2019-12-27 23:59:59.999,0.18924000,0.19015000,0.18480000,0.19003000,34971243.80000000
2019-12-28 23:59:59.999,0.19003000,0.19469000,0.18969000,0.19320000,36743672.90000000
2019-12-29 23:59:59.999,0.19321000,0.19850000,0.19080000,0.19653000,49069370.30000000
2019-12-30 23:59:59.999,0.19651000,0.19790000,0.19206000,0.19326000,41924910.40000000
2019-12-31 23:59:59.999,0.19327000,0.19422000,0.18988000,0.19295000,40610029.30000000
2020-01-01 23:59:59.999,0.19285000,0.19526000,0.19219000,0.19305000,29773022.60000000
2020-01-02 23:59:59.999,0.19304000,0.19304000,0.18508000,0.18750000,47912105.60000000
2020-01-03 23:59:59.999,0.18750000,0.19395000,0.18450000,0.19338000,70390779.30000000
2020-01-04 23:59:59.999,0.19331000,0.19363000,0.19119000,0.19305000,34239655.40000000
2020-01-05 23:59:59.999,0.19305000,0.19722000,0.19288000,0.19453000,54356477.70000000
2020-01-06 23:59:59.999,0.19453000,0.22396000,0.19421000,0.22310000,234157239.20000000
2020-01-07 23:59:59.999,0.22310000,0.22550000,0.20702000,0.21335000,206449580.60000000
2020-01-08 23:59:59.999,0.21334000,0.21836000,0.20311000,0.20750000,148861801.30000000
2020-01-09 23:59:59.999,0.20750000,0.20877000,0.20126000,0.20373000,75492140.50000000
2020-01-10 23:59:59.999,0.20375000,0.21318000,0.20023000,0.21284000,145223181.50000000
2020-01-11 23:59:59.999,0.21277000,0.21994000,0.20852000,0.21121000,119237732.20000000
2020-01-12 23:59:59.999,0.21121000,0.21713000,0.20941000,0.21539000,70711714.40000000
2020-01-13 23:59:59.999,0.21536000,0.21560000,0.20960000,0.21134000,50959156.80000000
2020-01-14 23:59:59.999,0.21134000,0.24526000,0.21134000,0.23464000,301142541.50000000
2020-01-15 23:59:59.999,0.23455000,0.24356000,0.22630000,0.23367000,237606461.80000000
2020-01-16 23:59:59.999,0.23367000,0.23501000,0.22230000,0.22900000,140095581.90000000
2020-01-17 23:59:59.999,0.22899000,0.24453000,0.22659000,0.23921000,214368960.70000000
2020-01-18 23:59:59.999,0.23922000,0.25456000,0.23183000,0.24357000,206939203.80000000
2020-01-19 23:59:59.999,0.24357000,0.25175000,0.22700000,0.23558000,180887717.90000000
2020-01-20 23:59:59.999,0.23554000,0.23672000,0.22415000,0.23314000,115112776.40000000
2020-01-21 23:59:59.999,0.23314000,0.24200000,0.23000000,0.23726000,111913129.90000000
2020-01-22 23:59:59.999,0.23738000,0.23996000,0.23213000,0.23733000,84725853.40000000
2020-01-23 23:59:59.999,0.23733000,0.23746000,0.22123000,0.22586000,105762250.00000000
2020-01-24 23:59:59.999,0.22584000,0.22630000,0.21378000,0.22222000,121855078.50000000
2020-01-25 23:59:59.999,0.22219000,0.22271000,0.21662000,0.21946000,56806347.00000000
2020-01-26 23:59:59.999,0.21946000,0.23276000,0.21800000,0.23131000,79796120.00000000
2020-01-27 23:59:59.999,0.23121000,0.23393000,0.22630000,0.23077000,102966534.50000000
2020-01-28 23:59:59.999,0.23078000,0.24162000,0.23077000,0.23906000,157599522.50000000
2020-01-29 23:59:59.999,0.23912000,0.24197000,0.23425000,0.23539000,114643264.70000000
2020-01-30 23:59:59.999,0.23538000,0.24669000,0.23056000,0.24376000,162144624.00000000
2020-01-31 23:59:59.999,0.24376000,0.24486000,0.23350000,0.23946000,122494224.80000000
2020-02-01 23:59:59.999,0.23947000,0.24304000,0.23684000,0.24141000,78963550.60000000
2020-02-02 23:59:59.999,0.24146000,0.26163000,0.23550000,0.25093000,220101966.80000000
2020-02-03 23:59:59.999,0.25094000,0.25950000,0.24678000,0.25453000,168166882.10000000
2020-02-04 23:59:59.999,0.25447000,0.27100000,0.24752000,0.26737000,273001224.90000000
2020-02-05 23:59:59.999,0.26742000,0.28240000,0.26737000,0.27774000,309852829.80000000
2020-02-06 23:59:59.999,0.27782000,0.28856000,0.26778000,0.28325000,274932947.30000000
2020-02-07 23:59:59.999,0.28325000,0.28832000,0.27766000,0.27953000,158743853.50000000
2020-02-08 23:59:59.999,0.27951000,0.28223000,0.26360000,0.27735000,164832911.10000000
2020-02-09 23:59:59.999,0.27731000,0.28924000,0.27622000,0.28257000,151863434.10000000
2020-02-10 23:59:59.999,0.28255000,0.28322000,0.26730000,0.27338000,142780388.90000000
2020-02-11 23:59:59.999,0.27342000,0.28350000,0.26738000,0.28100000,150202084.80000000
2020-02-12 23:59:59.999,0.28092000,0.30900000,0.28091000,0.30427000,358543825.10000000
2020-02-13 23:59:59.999,0.30427000,0.34000000,0.30000000,0.32709000,684720941.90000000
2020-02-14 23:59:59.999,0.32718000,0.33942000,0.31040000,0.33594000,348251076.60000000
2020-02-15 23:59:59.999,0.33585000,0.34676000,0.29550000,0.30729000,397053085.50000000
2020-02-16 23:59:59.999,0.30729000,0.31892000,0.27000000,0.29224000,381819181.70000000
2020-02-17 23:59:59.999,0.29248000,0.29511000,0.26821000,0.28736000,354803561.00000000
2020-02-18 23:59:59.999,0.28741000,0.30273000,0.27474000,0.29827000,296854594.30000000
2020-02-19 23:59:59.999,0.29834000,0.30777000,0.27007000,0.27466000,219950638.90000000
2020-02-20 23:59:59.999,0.27466000,0.28168000,0.26109000,0.27090000,270623144.60000000
2020-02-21 23:59:59.999,0.27094000,0.27898000,0.26780000,0.27418000,175945123.90000000
